Identity_Context,CARE_SITE_ID,care_site_name,place_of_service_concept_id,STREET_ADDR,LOCATION_ID,care_site_source_value,place_of_service_source_value,UPDT_DT_TM
UNMHSC_P126.ADDRESS,379870639,UNMHSC/SRMC Behavioral Health,0,3001 Broadmoor Blvd. NE,1288637158222005017,UNMHSC/SRMC Behavioral Health,,2020-02-06T09:54:45.000+00:00
UNMHSC_P126.ADDRESS,1133755,UNMHSC/CASAA + Milagro Programs,0,2350 Alamo Ave. SE,818086180099283884,UNMHSC/CASAA + Milagro Programs,Outpatient,2019-09-04T09:34:31.000+00:00
UNMHSC_P126.ADDRESS,1133548,UNMHSC/Carrie Tingley Hospital,0,1127 University Blvd. NE,1331341737805012120,UNMHSC/Carrie Tingley Hospital,,2019-09-04T09:41:48.000+00:00
UNMHSC_P126.ADDRESS,1133603,UNMHSC/Mental Health Center,0,2600 Marble Ave. NE,7453133408879118715,UNMHSC/Mental Health Center,,2019-09-04T09:31:02.000+00:00
UNMHSC_P126.ADDRESS,379867906,UNMHSC/Sandoval Regional Medical Center,0,3001 Broadmoor Blvd. NE,6510078222459350610,UNMHSC/Sandoval Regional Medical Center,,2019-08-28T12:07:21.000+00:00
UNMHSC_P126.ADDRESS,11644,UNMHSC/University Hospital,0,2211 Lomas NE,3940393730482937411,UNMHSC/University Hospital,,2019-08-28T10:13:11.000+00:00
UNMHSC_P126.ADDRESS,1133582,UNMHSC/Children's Psychiatric Center,0,1001 Yale Blvd. NE,6588925538406770462,UNMHSC/Children's Psychiatric Center,,2019-09-04T09:29:54.000+00:00
UNMHSC_P126.ADDRESS,2366944557,UNMHSC/Metropolitan Detention Center,0,100 Deputy Dean Miera Dr SW,144379391250119078,UNMHSC/Metropolitan Detention Center,,2023-06-26T12:36:18.000+00:00
UNMHSC_P126.ADDRESS,1133562,UNMHSC/Cancer Center,0,1201 Camino de Salud NE,3028362872548165379,UNMHSC/Cancer Center,Outpatient,2019-09-04T09:40:14.000+00:00
UNMHSC_P126.ADDRESS,1694017373,CARE (Comp Assessmt and Recovery thru Excellence),0,5901 Zuni Rd SE,2592751976508688115,CARE (Comp Assessmt and Recovery thru Excellence),,2025-12-01T13:04:35.000+00:00
